Construct IDs,p65 Average Z-score,VP64 Average Z-score,olfactory_gene
ACO1,0.3755087149351112,-0.2365542624232611,False
ACO2,-0.8737435626785196,-1.523249731482435,False
ACOD1,0.7450464551539172,-0.034670413471519834,False
ACOT1,0.12458334172433572,0.6160452382242947,False
ACOT11,0.24254241597766324,0.6534547192538532,False
ACOT12,-3.485983644574318,-1.6197568148271737,False
ACOT2,0.0878743419723656,-0.4662742584597924,False
ACOT4,-0.1819486154904048,0.2533203692657798,False
ACOT6,0.28020872445230594,0.3015042248307804,False
ACOT7,0.4305960427395811,0.12956066274476666,False
ACOT8,0.30239836895619865,0.019618909584730504,False
ACOT9,0.21110153726452674,-0.6520210772482368,False
ACOX2,0.4713008205829195,0.601819957548785,False
ACOXL,-0.19781882179043597,-0.5158468352911296,False
ACP1,-0.17910193863767107,-0.3402974665772046,False
ACP2,-1.0801067078960567,-0.9723406221947017,False
ACP3,-0.2877300008246237,0.47583179880114634,False
ACP4,0.1767531086820328,-0.046829240307158695,False
ACP6,-0.05603281222356155,-0.2891190140203844,False
ACP7,0.39253743824658477,-0.05352617968021445,False
ACR,0.40736682186599316,0.3936487651377098,False
ACRBP,0.06370599394925712,-0.01940600016886898,False
ACRV1,-0.1061013843391333,-0.15848164382473093,False
ACSBG1,0.5295788698434215,0.08426855253212184,False
ACSBG2,1.205378478099978,1.146484374537827,False
ACSF2,-0.15996508138137666,0.09934179315944704,False
ACSF3,-0.5621517239695087,-0.5959004555822572,False
ACSL1,-0.7047613669881059,-0.09832523510833295,False
ACSL3,0.028583424695013127,-0.15872315573051785,False
ACSL4,0.12198106210294718,-0.20298834942778696,False
ACSL5,-0.8409642629785136,-0.6305573302478593,False
ACSL6,-0.5188030547245738,-0.8800131906441422,False
ACSM1,-1.244512741635921,-0.963927225601242,False
ACSM2A,0.020227571071902206,-0.07723264586094057,False
ACSM3,0.4701085441453985,0.7160730879089459,False
ACSM4,0.1916491210498614,-0.22362315407978056,False
ACSM5,-0.7726720276525678,-0.43397401255629375,False
ACSM6,-0.41831813852084243,-0.11350521493776652,False
ACSS1,0.4408257536604806,0.3939822288681289,False
ACSS2,0.1293693444504549,-0.5389402314008589,False
ACSS3,-1.8042443052899981,-2.3924198291636967,False
ACTA1,0.17142966326397674,0.6850025702359982,False
ACTA2,-0.762534889218284,-0.3534393065668784,False
ACTB,0.5977213963533446,0.057649503887453164,False
ACTBL2,0.40778806294041015,0.49759052212262445,False
ACTC1,0.11329998325536303,0.1682601986807844,False
ACTG1,-1.7149137832679482,-1.8173302747923819,False
ACTG2,-0.7234838029245791,-0.6622095161552797,False
ACTL10,-0.5446240644538616,-0.8202056880952175,False
ACTL6A,0.7756741305008146,0.3200710114996966,False
ACTL6B,0.22435113300906961,1.1395475868868226,False
ACTL7A,1.1072734968714966,0.2673106648956249,False
ACTL7B,-0.3738114550841605,-0.9397036909915665,False
ACTL8,0.18894812276879724,0.35164752046356057,False
ACTL9,0.6219283608953554,0.7908732429753438,False
ACTN1,-0.15804102112163873,0.7827177183539681,False
ACTN2,-1.4507385934712647,-0.6006266515990633,False
ACTN3,0.43323132892193844,0.47712366393923195,False
ACTN4,-0.5941326048723482,-1.6120086699017953,False
ACTR10,-2.730115853607893,-2.0270496332659858,False
ACTR1A,-0.6019378306711044,-1.082060879013386,False
ACTR1B,-0.163847146179459,0.4820265552760627,False
ACTR2,0.3053777276767603,0.2175986325846713,False
ACTR3,-0.11272664640535299,-0.11880866434194001,False
ACTR3B,-0.17589345810974816,-0.05764318019859331,False
ACTR3C,1.2238783402658466,-0.07176732637531155,False
ACTR5,-0.18954827930908108,-0.4021392760601173,False
ACTR6,-0.440135315481197,-0.3875352470630984,False
ACTR8,-0.4513015846928856,-0.1901052848063856,False
ACTRT1,0.6228258273020284,0.2873801016954726,False
ACTRT2,1.0633884379695093,0.7227185743004755,False
ACTRT3,-0.5134824333438646,-1.0298788070779714,False
ACVR1,-0.15467039543878555,0.05205559468608158,False
ACVR1B,-0.21579902234859505,0.3187685308445029,False
ACVR1C,-1.1486610790030136,-0.7236132209590282,False
ACVR2A,0.09130262261848326,0.21200088815879845,False
ACVR2B,0.039021757512861105,0.31591795765835806,False
ACVRL1,0.3740730146651057,-0.021224250231679453,False
ACY1,0.566232094762207,0.15506783343413166,False
ACY3,-0.19463935330870213,-0.7611314489265466,False
ACYP1,0.7725363419160779,1.2073205539284666,False
ADA,0.4414668258770233,-0.3741447396306902,False
ADA2,-0.8159031619368281,-0.1460240673555691,False
ADAD1,-0.6619160582822408,-0.8809365504174803,False
ADAD2,0.06530573433111098,-0.026830991621544842,False
ADAL,-1.1759271091544399,-1.0766225665946783,False
ADAM10,-1.2633441142865225,-1.479445205202091,False
ADAM11,-0.00047362037440573657,0.37496319113097,False
ADAM12,0.48136240163356947,0.13536958012166111,False
ADAM15,-0.5222577242819523,0.3134945046874364,False
ADAM17,0.46022822644197403,0.33889745750783085,False
ADAM18,0.2884375985871263,0.11134863456570174,False
ADAM19,-0.7078063238039132,0.2822292791660895,False
ADAM2,-0.49712363054229497,-0.4306461794281785,False
ADAM20,-0.043590234122257654,0.06962411772548609,False
ADAM21,-0.834159411924726,-0.9289294276730948,False
ADAM22,-1.0410987078821898,-1.1218036187060392,False
ADAM23,0.2976558291330804,0.1852758243223071,False
ADAM28,0.11299414357260973,-0.10726495968485733,False
ADAM29,0.3560386006683031,0.9035198369224122,False
ADAM30,0.25608152108926374,-0.08865142901231049,False
ADAM32,-0.8518751202073005,-1.6770390161631274,False
ADAM33,0.08302821941463837,-0.23641935629492639,False
ADAM7,0.7156715061579826,0.7022301201661059,False
ADAM8,-1.3899603907678415,-0.9152898177185409,False
ADAM9,-2.5959358269922848,-2.244023388201564,False
ADAMDEC1,-0.44959273601900995,0.6295010488649637,False
ADAMTS1,-0.35219099851457225,0.26009978876986733,False
ADAMTS10,-0.3579426112450964,-0.5940500841500751,False
ADAMTS12,0.3923858433926049,1.0945415591748,False
ADAMTS13,-0.4812282261496882,0.18480436858624835,False
ADAMTS14,-0.35834668084699267,-0.5044062750051188,False
